Apps	6084	Microsoft.SkypeApp_kzf8qxf38zg5c!App	name=*|Skype Preview	gscore=6084	lscore=6084
Apps	64000	Microsoft.AutoGenerated.{EC8BBCC0-8DF2-4BCE-A429-37BBF7F996C6}	name=*|Gerenciador de Tarefas	gscore=64000	lscore=64000
Apps	7677	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\printmanagement.msc	name=*|Gerenciamento de Impressão	gscore=7677	lscore=7677
Apps	9058	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\ImgBurn\\ImgBurn.exe	name=*|ImgBurn	gscore=9058	lscore=9058
Apps	64000	http://www.orionphoenix.com.br/	name=*|Orion	gscore=64000	lscore=64000
Apps	34500	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\blueMSX\\blueMSX.exe	name=*|blueMSX	gscore=64000	lscore=5000
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\Oracle\\VirtualBox\\doc\\UserManual.pdf	name=*|User manual (PDF, English)	gscore=64000	lscore=64000
Apps	5642	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WFS.exe	name=*|Windows Fax and Scan	gscore=5642	lscore=5642
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\K-Lite Codec Pack\\Info\\faq.htm	name=*|Frequently Asked Questions	gscore=64000	lscore=64000
Apps	6143	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\dfrgui.exe	name=*|Desfragmentar e Otimizar Unidades	gscore=6143	lscore=6143
Apps	6421	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Google\\Drive\\googledrivesync.exe	name=*|Google Drive	gscore=6421	lscore=6421
Apps	64000	C:\\Users\\Felipe\\Documents\\VirtualDJ\\VirtualDJ 8 - Getting Started.pdf	name=*|Setup QuickStart	gscore=64000	lscore=64000
Apps	5806	Microsoft.Windows.Photos_8wekyb3d8bbwe!App	name=*|Fotos	gscore=5806	lscore=5806
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\Stellarium\\stellarium-devdocs.url	name=*|Stellarium Developers Documentation on the web	gscore=64000	lscore=64000
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\VSO\\ConvertX\\5\\lgpl-2.1.txt	name=*|LGPL license	gscore=64000	lscore=64000
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Padus\\DiscJuggler\\pfcsrvc.exe	name=*|Network Console	gscore=64000	lscore=64000
Apps	64000	Microsoft.AutoGenerated.{3F15AA6F-1190-B245-3B25-60EFE2893280}	name=*|Agendador de Tarefas	gscore=64000	lscore=64000
Apps	7982	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WindowsPowerShell\\v1.0\\PowerShell_ISE.exe	name=*|Windows PowerShell ISE	gscore=7982	lscore=7982
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Firebird\\Firebird_2_1\\leia-me.txt	name=*|Firebird 2.1.7 Leia-me	gscore=64000	lscore=64000
Apps	64000	Microsoft.Windows.Cortana_cw5n1h2txyewy!CortanaUI	name=*|Cortana	gscore=64000	lscore=64000
Apps	11976	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\SlySoft\\CloneCD\\CloneCD.exe	name=*|CloneCD	gscore=11976	lscore=11976
Apps	5479	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Notepad++\\notepad++.exe	name=*|Notepad++	gscore=5479	lscore=5479
Apps	64000	Microsoft.AutoGenerated.{510E4EC6-2E08-C2E2-2B51-88AD74BBACDD}	name=*|Reset to recommended settings	gscore=64000	lscore=64000
